MessageId,Message,CampaignName,CampaignId,UserId,UserName,RoomName,PhoneNumber,Status,ResponseMessage,SentAt
"4088","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","4921000002","0","","7/14/2025 2:55:23 PM"
"4085","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9991000002","0","","7/14/2025 2:55:23 PM"
"4079","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","2461000002","0","","7/14/2025 2:55:23 PM"
"4081","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","2291000001","0","","7/14/2025 2:55:23 PM"
"4082","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","2291000002","0","","7/14/2025 2:55:23 PM"
"4075","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","8341000001","1","","7/14/2025 2:55:23 PM"
"4076","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","8341000002","0","","7/14/2025 2:55:23 PM"
"4077","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","2461000000","1","","7/14/2025 2:55:23 PM"
"4069","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","6621000001","1","","7/14/2025 2:55:23 PM"
"4070","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","6621000002","1","","7/14/2025 2:55:23 PM"
"4071","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9931000000","1","","7/14/2025 2:55:23 PM"
"4072","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9931000001","1","","7/14/2025 2:55:23 PM"
"4073","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9931000002","0","","7/14/2025 2:55:23 PM"
"4063","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","4441000001","0","","7/14/2025 2:55:23 PM"
"4067","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","6671000002","0","","7/14/2025 2:55:23 PM"
"4062","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","4441000000","1","","7/14/2025 2:55:23 PM"
"4053","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","2221000000","0","","7/14/2025 2:55:23 PM"
"4050","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9511000000","0","","7/14/2025 2:55:20 PM"
"4051","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","9511000001","0","","7/14/2025 2:55:20 PM"
"4046","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","7771000002","0","","7/14/2025 2:55:20 PM"
"4048","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","3111000001","1","","7/14/2025 2:55:20 PM"
"4049","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","3111000002","0","","7/14/2025 2:55:20 PM"
"4037","dsad{ID} dsadsa{Teléfono} ","8","9008","3","hec_tre_san@hotmail.com","Default","7711000002","1","","7/14/2025 2:55:20 PM"
