"Fecha","Teléfono","CP","Sala","Campaña","ID campaña","Usuario","ID mensaje","Mensaje","Estatus","Fecha de recepción","Costo","Tipo"
"30/07/2026 12:38","553 234 2032","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3003","men{tel} sj{ID} {Dato} ","Entregado","30/07/2026 12:38","$0.28","Número corto"
"30/07/2026 12:38","554 360 3074","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3004","men{tel} sj{ID} {Dato} ","No enviado","30/07/2026 12:38","$0.28","Número corto"
"30/07/2026 12:38","552 070 2412","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3005","men{tel} sj{ID} {Dato} ","No enviado","30/07/2026 12:38","$0.28","Número corto"
"30/07/2026 12:38","561 455 1851","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3006","men{tel} sj{ID} {Dato} ","No entregado","30/07/2026 12:38","$0.28","Número corto"
"30/07/2026 12:38","553 450 5411","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3007","men{tel} sj{ID} {Dato} ","Enviando","30/07/2026 12:38","$0.28","Número corto"
"30/07/2026 12:38","553 900 6706","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3008","men{tel} sj{ID} {Dato} ","No entregado","30/07/2026 12:38","$0.28","Número corto"
"30/07/2026 12:38","777 267 6414","","ZX Principal","NoCOdePost","24004","roberto122.pf@gmail.com","3002","men{tel} sj{ID} {Dato} ","No enviado","30/07/2026 12:38","$0.28","Número corto"
"29/07/2026 16:18","554 360 3074","44100","ZX Principal","df","24002","roberto122.pf@gmail.com","2004","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Fallido","29/07/2026 16:18","$0.28","Número largo"
"29/07/2026 16:18","552 070 2412","22000","ZX Principal","df","24002","roberto122.pf@gmail.com","2005","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Excepción","29/07/2026 16:18","$0.28","Número largo"
"29/07/2026 16:18","561 455 1851","23000","ZX Principal","df","24002","roberto122.pf@gmail.com","2006","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Enviando","29/07/2026 16:18","$0.28","Número largo"
"29/07/2026 16:18","553 450 5411","97000","ZX Principal","df","24002","roberto122.pf@gmail.com","2007","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Enviando","29/07/2026 16:18","$0.28","Número largo"
"29/07/2026 16:18","553 900 6706","76000","ZX Principal","df","24002","roberto122.pf@gmail.com","2008","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Entregado","29/07/2026 16:18","$0.28","Número largo"
"29/07/2026 16:18","553 234 2032","64000","ZX Principal","df","24002","roberto122.pf@gmail.com","2003","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Excepción","29/07/2026 16:18","$0.28","Número largo"
"29/07/2026 16:18","777 267 6414","01000","ZX Principal","df","24002","roberto122.pf@gmail.com","2002","Lorem ipsum dolor sit amet,  {consectetur}   elit. Quisque non dignissim dui. {Variable3} Quisque non dignissim dui. {Phasellus} Quisque eu tincidunt arcu, eu l","Entregado","29/07/2026 16:18","$0.28","Número largo"
